module	trait	nObs	bicor	Z	t	p
yellow	group	43	-0.0290670140103639	-0.186172145480114	0.18619837723592	0.853207417069281
yellow	age	43	0.132536924456096	0.853672573666684	0.856203764219735	0.396861618162488
yellow	gest_age	43	-0.273818541618546	-1.7991961675018	1.82296537730264	0.0756061159545525
yellow	gest_age_at_birth	43	0.0615144422823096	0.394382570673112	0.39463197294771	0.695159958174933
yellow	preterm	43	0.0811428998263165	0.520712902855073	0.521287023962395	0.604971352766729
yellow	height_base	43	-0.0947518003464445	-0.608533046937563	0.609449506954235	0.545589287222989
yellow	weight_base	43	-0.128162850386281	-0.825180676934844	0.827466658218294	0.412763027906868
yellow	weight_wk26	41	-0.158262306945819	-0.99672576262466	1.00096281980175	0.323015128583655
yellow	weight_wk36	39	-0.143662244460712	-0.879950721375851	0.883023112498563	0.382925237380239
yellow	weight_mth3	41	-0.0503979925197921	-0.315002240740572	0.315135832700005	0.754338569585784
yellow	weight_mth6	42	-0.111808037949377	-0.710105067253457	0.711597965920395	0.480843437910521
yellow	bmi	43	-0.0647543440463204	-0.415211104223149	0.41550215119096	0.679940956332591
yellow	bmi_base	43	-0.0972648868095132	-0.624774366667733	0.625766205792402	0.534936454620712
yellow	parity_base	43	-0.234832501919576	-1.53225435086254	1.54691998541285	0.129567488281519
yellow	gwg	39	0.0723663097472817	0.440957903585534	0.441344228337466	0.661532294692043
yellow	egwg	39	-0.0304066668200959	-0.185013566716088	0.185042095144089	0.854206622888635
yellow	ppwr	42	0.0413271419985225	0.261524752562324	0.26159928825424	0.794972765747686
yellow	ppwr_e	42	0.0943328954909319	0.598392819553714	0.599286006287055	0.552361638253144
yellow	apo	43	0.0438391658115428	0.280887660890412	0.280977756714865	0.780140581930151
yellow	apo_hdp	14	-0.0295461647082857	-0.102380715789744	0.102395621097782	0.920133858145702
yellow	apo_gdm	14	-0.0575307474313969	-0.199512664511342	0.199622983669606	0.845118161545097
yellow	apo_other	14	-0.0123644292471167	-0.0428338222130698	0.0428349137321025	0.966537630410025
yellow	race_eth_new	43	0.0675077223664692	0.432918780282943	0.433248681131767	0.667105012310356
yellow	White_vs_nonwhite	43	0.0546062837354756	0.349998976998981	0.350173290127099	0.728001265919044
yellow	total_number_of_pregnancie_30f336_base	43	-0.215047837165892	-1.39881355551742	1.4099662714832	0.166090980889582
yellow	total_number_abortions_base	20	0.107058939823144	0.455959983398696	0.456838211305112	0.653252298897181
yellow	pregtype_conception_base	43	-0.0138642279592063	-0.0887800627108421	0.0887829072728795	0.929686707625333
yellow	pregtype_planned_base	43	0.238157904734139	1.55480881467029	1.57013295508235	0.124070557838474
yellow	other_children_base	43	-0.0470237842899302	-0.301321361613778	0.301432586698143	0.764608231008174
yellow	moth_marit_stat_base	43	-0.123981531434171	-0.797974713051281	0.800041851295201	0.428297887129671
yellow	mother_s_education_base	43	-0.214189786694414	-1.3930540619411	1.40406936734175	0.167828169941218
yellow	father_s_age_at_enrollment_base	42	0.15906499972655	1.01463119457621	1.01898904422495	0.314332047879374
yellow	fathers_country_of_birth_us_base	42	0.157563038573823	1.00488775308027	1.00912115585152	0.318982190789574
yellow	father_s_race_base	42	0.077782338833565	0.492934413394726	0.493433628918735	0.624404642279575
yellow	father_s_hispanic_base	42	0.0721453164301945	0.457081176305772	0.457479175492326	0.649801910999871
yellow	father_s_education_base	42	0.0292097445348082	0.184791212352125	0.184817506024075	0.854306073115735
yellow	father_currently_employed_base	42	0.0376912167877473	0.238493165156377	0.238549691051457	0.812672703904904
yellow	low_income	43	-0.0450112852329	-0.288407729646926	0.288505257717833	0.77441361538541
yellow	low_access	43	0.134684644958668	0.867674663742309	0.870332537612546	0.38918601663275
yellow	second_hand_base	43	-0.130375910489007	-0.839592003520001	0.841999929365356	0.404672763343363
yellow	second_hand_days_base	43	-0.0792476185915636	-0.508498624453668	0.509033276440943	0.613457588533981
yellow	second_hand_rules_base	43	-0.0729597523758553	-0.468001951897874	0.468418748229011	0.641966050332283
yellow	PM2.5_7Days_base	42	0.0615774276571115	0.38994320660923	0.390190308108334	0.698465998040607
yellow	PM2.5_30Days_base	42	0.00111791323815426	0.00707030706336931	0.00707030853603314	0.994393902317415
yellow	PM2.5_90Days_base	42	-0.0957474770351588	-0.607420968336449	0.608355208195194	0.546391137856684
yellow	PM2.5_7Days_wk26	23	-0.385852111888352	-1.86472958870554	1.91661818132464	0.0689957658728566
yellow	PM2.5_30Days_wk26	22	-0.237277680877613	-1.08175332617076	1.09233303952172	0.287670679252073
yellow	PM2.5_90Days_wk26	21	0.0766555105364476	0.334790404913863	0.335119667401427	0.741206465196497
yellow	PM2.5_7Days_wk36	23	-0.216389576850421	-1.00754892011484	1.01568616760698	0.321338821169948
yellow	PM2.5_30Days_wk36	23	-0.486795199370777	-2.43725026722556	2.55378895233516	0.0184905795470449
yellow	PM2.5_90Days_wk36	22	-0.182600091795264	-0.825874494639954	0.830576698273315	0.416018197278195
yellow	PM2.5_7Days_mth3	23	-0.436595009624766	-2.14471944044799	2.22387766554351	0.0372596358082654
yellow	PM2.5_30Days_mth3	22	-0.293707356122199	-1.35335249142558	1.37410353351546	0.18461437840154
yellow	PM2.5_90Days_mth3	22	-0.379731656298449	-1.7877187064648	1.83571255659524	0.0813145655848858
yellow	PM2.5_7Days_mth6	21	-0.202117848771348	-0.893311110134993	0.899577470013756	0.37960539043473
yellow	PM2.5_30Days_mth6	20	-0.17705730344038	-0.759191322023886	0.763249445367464	0.455202495724453
yellow	PM2.5_90Days_mth6	20	-0.218840918337085	-0.943726207031976	0.951527896264983	0.353939641917507
yellow	do_any_close_friends_or_re_base	43	0.147075401308971	0.948621910252698	0.952095839246428	0.346627824331697
yellow	KCAL_base	40	0.0160084648397024	0.0986912359655951	0.0986954520226808	0.921898881734379
yellow	HEI2015C9_FATTYACID_base	40	-0.0758249759411331	-0.468315438817829	0.468766054089145	0.641915060863303
yellow	HEI2015C12_SFAT_base	40	-0.099933900477214	-0.618097044663429	0.619133268234211	0.539522942458596
yellow	HEI2015_TOTAL_SCORE_base	40	0.0860498936633289	0.531762263961956	0.532422013785317	0.59753345140128
yellow	KCAL_wk36	36	0.136240996884023	0.799385380880456	0.801891758756182	0.428184863137125
